Neighborhoods,Address,Location,Coordinates,Latitude,Longitude
Tierrasanta,"Tierrasanta,San Diego,CA","Tierrasanta, San Diego, San Diego County, California, 92124, United States","(32.8292155, -117.103643, 0.0)",32.8292155,-117.103643
Downtown,"Downtown,San Diego,CA","Downtown, Escondido, San Diego County, California, United States","(33.12203435, -117.08237380087587, 0.0)",33.12203435,-117.0823738
Columbia,"Columbia,San Diego,CA","San Diego, Santa Fe Depot, Columbia, Banker's Hill, San Diego, San Diego County, California, 92101, United States","(32.7169643, -117.1700668, 0.0)",32.7169643,-117.1700668
Core,"Core,San Diego,CA","Metropolitan Correctional Center, San Diego, 808, Union Street, Columbia, San Diego, San Diego County, California, 92101, United States","(32.71392435, -117.1660740498022, 0.0)",32.71392435,-117.166074
Cortez Hill,"Cortez Hill,San Diego,CA","Cortez Hill, Banker's Hill, San Diego, San Diego County, California, 92101, United States","(32.721465, -117.1598091, 0.0)",32.721465,-117.1598091
East Village,"East Village,San Diego,CA","East Village, San Diego, San Diego County, California, 92101, United States","(32.713731, -117.1536398, 0.0)",32.713731,-117.1536398
Gaslamp Quarter,"Gaslamp Quarter,San Diego,CA","Gaslamp Quarter, San Diego, San Diego County, California, 92101, United States","(32.711486, -117.1601106, 0.0)",32.711486,-117.1601106
Harborview,"Harborview,San Diego,CA","Harborview, Banker's Hill, San Diego, San Diego County, California, 92101-3414, United States","(32.7257498, -117.1718523, 0.0)",32.7257498,-117.1718523
Little Italy,"Little Italy,San Diego,CA","Little Italy, Banker's Hill, San Diego, San Diego County, California, United States","(32.7234579, -117.168272, 0.0)",32.7234579,-117.168272
Marina,"Marina,San Diego,CA","San Diego, San Diego County, California, United States","(32.7174202, -117.1627728, 0.0)",32.7174202,-117.1627728
Balboa Park,"Balboa Park,San Diego,CA","Balboa Park, San Diego, San Diego County, California, United States","(32.73135675, -117.14652655570401, 0.0)",32.73135675,-117.1465266
Bankers Hill,"Bankers Hill,San Diego,CA","Banker's Hill, San Diego, San Diego County, California, 92101-1632, United States","(32.728293, -117.1621052, 0.0)",32.728293,-117.1621052
Barrio Logan,"Barrio Logan,San Diego,CA","Barrio Logan, San Diego, San Diego County, California, 92136, United States","(32.6938863, -117.1380068, 0.0)",32.6938863,-117.1380068
Golden Hill,"Golden Hill,San Diego,CA","Golden Hill, San Diego, San Diego County, California, 92102, United States","(32.7161627, -117.1361432, 0.0)",32.7161627,-117.1361432
Grant Hill,"Grant Hill,San Diego,CA","Grant Hill, San Diego, San Diego County, California, 92102, United States","(32.7086656, -117.1339248, 0.0)",32.7086656,-117.1339248
Logan Heights,"Logan Heights,San Diego,CA","Logan Heights, San Diego, San Diego County, California, 92113, United States","(32.6992188, -117.129476, 0.0)",32.6992188,-117.129476
Memorial,"Memorial,San Diego,CA","Memorial, Baltimore Drive, San Diego, San Diego County, California, 92119, United States","(32.7869156, -117.0349224, 0.0)",32.7869156,-117.0349224
Middletown,"Middletown,San Diego,CA","Middletown, West Palm Street, Middletown, Banker's Hill, San Diego, San Diego County, California, 92101-1632, United States","(32.7336529, -117.1748622, 0.0)",32.7336529,-117.1748622
Sherman Heights,"Sherman Heights,San Diego,CA","Sherman Heights, San Diego, San Diego County, California, 92101, United States","(32.7106073, -117.1422545, 0.0)",32.7106073,-117.1422545
South Park,"South Park,San Diego,CA","South Park, San Diego, San Diego County, California, 92102, United States","(32.7244433, -117.129178, 0.0)",32.7244433,-117.129178
Stockton,"Stockton,San Diego,CA","Stockton, San Diego, San Diego County, California, 92102, United States","(32.713385, -117.123087, 0.0)",32.713385,-117.123087
Alta Vista,"Alta Vista,San Diego,CA","Alta Vista, San Diego, San Diego County, California, 92114, United States","(32.6933389, -117.0631541, 0.0)",32.6933389,-117.0631541
Bay Terraces,"Bay Terraces,San Diego,CA","Bay Terraces, San Diego, San Diego County, California, 91239, United States","(32.6919137, -117.0366305, 0.0)",32.6919137,-117.0366305
Broadway Heights,"Broadway Heights,San Diego,CA","Broadway Heights, San Diego, San Diego County, California, 92114, United States","(32.7297697, -117.0590256, 0.0)",32.7297697,-117.0590256
Chollas View,"Chollas View,San Diego,CA","Chollas View, San Diego, San Diego County, California, 92102-4810, United States","(32.7131076, -117.0911414, 0.0)",32.7131076,-117.0911414
Emerald Hills,"Emerald Hills,San Diego,CA","Emerald Hills, San Diego, San Diego County, California, 92102-4810, United States","(32.7167187, -117.081141, 0.0)",32.7167187,-117.081141
Encanto,"Encanto,San Diego,CA","Encanto, San Diego, San Diego County, California, 92114, United States","(32.7119967, -117.0503063, 0.0)",32.7119967,-117.0503063
Jamacha,"Jamacha,San Diego,CA","Jamacha, San Diego, San Diego County, California, 92114, United States","(32.7149616, -117.0408852, 0.0)",32.7149616,-117.0408852
Lincoln Park,"Lincoln Park,San Diego,CA","Lincoln Park, Valencia Park, San Diego, San Diego County, California, 92102-4810, United States","(32.704219, -117.0894745, 0.0)",32.704219,-117.0894745
Lomita,"Lomita,San Diego,CA","Lomita, San Diego, San Diego County, California, 91945, United States","(32.7086637, -117.0286388, 0.0)",32.7086637,-117.0286388
Mountain View,"Mountain View,San Diego,CA","Mountain View, San Diego, San Diego County, California, 92113, United States","(32.6992189, -117.1128086, 0.0)",32.6992189,-117.1128086
Mount Hope,"Mount Hope,San Diego,CA","Mount Hope, San Diego, San Diego County, California, 92102, United States","(32.7142185, -117.1075309, 0.0)",32.7142185,-117.1075309
Oak Park,"Oak Park,San Diego,CA","Oak Park, San Diego, San Diego County, California, 92115, United States","(32.7371791, -117.0708551, 0.0)",32.7371791,-117.0708551
Paradise Hills,"Paradise Hills,San Diego,CA","Paradise Hills, San Diego, San Diego County, California, 92139, United States","(32.6783865, -117.0569728, 0.0)",32.6783865,-117.0569728
Shelltown,"Shelltown,San Diego,CA","Shelltown, San Diego, San Diego County, California, 92136, United States","(32.6860843, -117.1077313, 0.0)",32.6860843,-117.1077313
Skyline,"Skyline,San Diego,CA","Skyline, San Diego, San Diego County, California, 91239, United States","(32.7026609, -117.0306316, 0.0)",32.7026609,-117.0306316
Southcrest,"Southcrest,San Diego,CA",,,,
Valencia Park,"Valencia Park,San Diego,CA","Valencia Park, San Diego, San Diego County, California, 92102-4810, United States","(32.7047745, -117.0850299, 0.0)",32.7047745,-117.0850299
Black Mountain Ranch,"Black Mountain Ranch,San Diego,CA","Black Mountain Ranch, San Diego, San Diego County, California, 92129, United States","(32.9841169, -117.1319318, 0.0)",32.9841169,-117.1319318
Carmel Mountain Ranch,"Carmel Mountain Ranch,San Diego,CA","Carmel Mountain Ranch, San Diego, San Diego County, California, 92128, United States","(32.9803929, -117.0783641, 0.0)",32.9803929,-117.0783641
Mira Mesa,"Mira Mesa,San Diego,CA","Mira Mesa, San Diego, San Diego County, California, 92126, United States","(32.915602, -117.1439226, 0.0)",32.915602,-117.1439226
Miramar,"Miramar,San Diego,CA","Miramar, San Diego, San Diego County, California, 92126, United States","(32.8936581, -117.1183661, 0.0)",32.8936581,-117.1183661
Rancho Bernardo,"Rancho Bernardo,San Diego,CA","Rancho Bernardo, San Diego, San Diego County, California, 92128, United States","(33.0186103, -117.0610495, 0.0)",33.0186103,-117.0610495
Rancho Encantada,"Rancho Encantada,San Diego,CA","Rancho Encantada, San Diego, San Diego County, California, 92145, United States","(32.9248151, -117.0221726, 0.0)",32.9248151,-117.0221726
Rancho Peasquitos,"Rancho Peasquitos,San Diego,CA","Rancho Peasquitos, San Diego, San Diego County, California, 92129, United States","(32.9577102, -117.1285395, 0.0)",32.9577102,-117.1285395
Sabre Springs,"Sabre Springs,San Diego,CA","Sabre Springs, San Diego, San Diego County, California, 92129-2935, United States","(32.9533789, -117.094477, 0.0)",32.9533789,-117.094477
San Pasqual Valley,"San Pasqual Valley,San Diego,CA","San Pasqual Valley, San Diego, San Diego County, California, United States","(33.0910338, -116.9990022, 0.0)",33.0910338,-116.9990022
Scripps Ranch,"Scripps Ranch,San Diego,CA","Scripps Ranch, San Diego, San Diego County, California, 92131, United States","(32.9022691, -117.0997546, 0.0)",32.9022691,-117.0997546
Sorrento Valley,"Sorrento Valley,San Diego,CA","Sorrento Valley, San Diego, San Diego County, California, 92121, United States","(32.9001409, -117.1894458, 0.0)",32.9001409,-117.1894458
Sorrento Mesa,"Sorrento Mesa,San Diego,CA",,,,
Torrey Highlands,"Torrey Highlands,San Diego,CA","Torrey Highlands, San Diego, San Diego County, California, 92130-5404, United States","(32.9641209, -117.1567508, 0.0)",32.9641209,-117.1567508
Burlingame,"Burlingame,San Diego,CA","Burlingame, San Diego, San Diego County, California, 92104, United States","(32.7316604, -117.1293211, 0.0)",32.7316604,-117.1293211
Hillcrest,"Hillcrest,San Diego,CA","San Diego, San Diego County, California, United States","(32.7174202, -117.1627728, 0.0)",32.7174202,-117.1627728
Marston Hills,"Marston Hills,San Diego,CA",,,,
Linda Vista,"Linda Vista,San Diego,CA","Linda Vista, San Diego, San Diego County, California, 92111, United States","(32.7898409, -117.1676463, 0.0)",32.7898409,-117.1676463
Midtown,"Midtown,San Diego,CA",,,,
Mission Hills,"Mission Hills,San Diego,CA","Mission Hills, San Diego, San Diego County, California, 92103, United States","(32.7529512, -117.1835214, 0.0)",32.7529512,-117.1835214
Mission Valley West,"Mission Valley West,San Diego,CA","Mission Valley, San Diego, San Diego County, California, 92018, United States","(32.7705017, -117.1540695, 0.0)",32.7705017,-117.1540695
Morena,"Morena,San Diego,CA","Morena, Old Town, San Diego, San Diego County, California, 92110, United States","(32.7666656, -117.1958612, 0.0)",32.7666656,-117.1958612
North Park,"North Park,San Diego,CA","North Park, San Diego, San Diego County, California, 92104, United States","(32.7483876, -117.1301564, 0.0)",32.7483876,-117.1301564
Ocean Beach,"Ocean Beach,San Diego,CA","Ocean Beach, San Diego, San Diego County, California, 92107, United States","(32.7448067, -117.2476067, 0.0)",32.7448067,-117.2476067
Old Town,"Old Town,San Diego,CA","Old Town, San Diego, San Diego County, California, 92137, United States","(32.7553282, -117.1978654, 0.0)",32.7553282,-117.1978654
Point Loma,"Point Loma,San Diego,CA","Point Loma, San Diego, San Diego County, California, 92106, United States","(32.7265255, -117.2444542, 0.0)",32.7265255,-117.2444542
La Playa,"La Playa,San Diego,CA","La Playa, San Diego, San Diego County, California, 92106, United States","(32.7106842, -117.2393918, 0.0)",32.7106842,-117.2393918
Liberty Station,"Liberty Station,San Diego,CA","Liberty Station, San Diego, San Diego County, California, United States","(32.7381048, -117.21427359040264, 0.0)",32.7381048,-117.2142736
Loma Portal,"Loma Portal,San Diego,CA","Loma Portal, San Diego, San Diego County, California, 92110-9998, United States","(32.746213, -117.2147189, 0.0)",32.746213,-117.2147189
Midway,"Midway,San Diego,CA","San Diego, San Diego County, California, United States","(32.7174202, -117.1627728, 0.0)",32.7174202,-117.1627728
Point Loma Heights,"Point Loma Heights,San Diego,CA",,,,
Roseville-Fleetridge,"Roseville-Fleetridge,San Diego,CA",,,,
Sunset Cliffs,"Sunset Cliffs,San Diego,CA","Sunset Cliffs, Point Loma, San Diego, San Diego County, California, 92107, United States","(32.7305, -117.2532, 0.0)",32.7305,-117.2532
Wooded Area,"Wooded Area,San Diego,CA","Wooded Area, Point Loma, San Diego, San Diego County, California, 92106, United States","(32.7191705, -117.2466308, 0.0)",32.7191705,-117.2466308
University Heights,"University Heights,San Diego,CA","University Heights, Hillcrest, San Diego, San Diego County, California, 92163, United States","(32.757194, -117.1460431, 0.0)",32.757194,-117.1460431
City Heights,"City Heights,San Diego,CA","City Heights, San Diego, San Diego County, California, 92105, United States","(32.7497278, -117.101029, 0.0)",32.7497278,-117.101029
College Area,"College Area,San Diego,CA","San Diego, Puente de Vallecas, Madrid, íÅrea metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, Espaí±a","(40.3922796, -3.6674239, 0.0)",40.3922796,-3.6674239
El Cerrito,"El Cerrito,San Diego,CA","San Diego, San Diego County, California, United States","(32.7174202, -117.1627728, 0.0)",32.7174202,-117.1627728
Fairmount Park,"Fairmount Park,San Diego,CA","Fairmount Park, San Diego, San Diego County, California, 92102, United States","(32.7233746, -117.1076289, 0.0)",32.7233746,-117.1076289
Gateway,"Gateway,San Diego,CA",,,,
Islenair,"Islenair,San Diego,CA","Islenair, San Diego, San Diego County, California, 92105, United States","(32.733175, -117.0996579, 0.0)",32.733175,-117.0996579
Kensington,"Kensington,San Diego,CA","Kensington, Normal Heights, San Diego, San Diego County, California, 92116, United States","(32.7633187, -117.1064126, 0.0)",32.7633187,-117.1064126
Normal Heights,"Normal Heights,San Diego,CA","Normal Heights, San Diego, San Diego County, California, 92116, United States","(32.7592741, -117.1175124, 0.0)",32.7592741,-117.1175124
Redwood Village,"Redwood Village,San Diego,CA",,,,
Rolando,"Rolando,San Diego,CA","Rolando, San Diego, San Diego County, California, 92115, United States","(32.7605912, -117.0587276, 0.0)",32.7605912,-117.0587276
Rolando Park,"Rolando Park,San Diego,CA","Rolando Park, San Diego, San Diego County, California, 92115, United States","(32.7486298, -117.0572436, 0.0)",32.7486298,-117.0572436
Swan Canyon,"Swan Canyon,San Diego,CA",,,,
Talmadge,"Talmadge,San Diego,CA","Talmadge, Colina Park, San Diego, San Diego County, California, 92115, United States","(32.7591582, -117.0890056, 0.0)",32.7591582,-117.0890056
Webster,"Webster,San Diego,CA","Webster, San Diego, San Diego County, California, 92102-4810, United States","(32.721534, -117.0937732, 0.0)",32.721534,-117.0937732
Border,"Border,San Diego,CA",,,,
Egger Highlands,"Egger Highlands,San Diego,CA",,,,
Nestor,"Nestor,San Diego,CA","Nestor, South San Diego, San Diego, San Diego County, California, 92154, United States","(32.5764096, -117.0841695, 0.0)",32.5764096,-117.0841695
Ocean View Hills,"Ocean View Hills,San Diego,CA",,,,
Otay Mesa,"Otay Mesa,San Diego,CA","Otay Mesa, San Diego, San Diego County, California, 92179, United States","(32.560058, -116.9361338, 0.0)",32.560058,-116.9361338
Otay Mesa West,"OtayŒæMesaŒæWest,San Diego,CA","Otay Mesa West, San Diego, San Diego County, California, 92154, United States","(32.5733912, -117.0541952, 0.0)",32.5733912,-117.0541952
Palm City,"Palm City,San Diego,CA","Palm City, South San Diego, San Diego, San Diego County, California, 92154, United States","(32.5841369, -117.0838085, 0.0)",32.5841369,-117.0838085
San Ysidro,"San Ysidro,San Diego,CA","San Ysidro, San Diego, San Diego County, California, 92173, United States","(32.5520013, -117.0430813, 0.0)",32.5520013,-117.0430813
Tijuana River Valley,"Tijuana River Valley,San Diego,CA","Tijuana River Valley, San Diego, San Diego County, California, 91932, United States","(32.5584048, -117.0929651, 0.0)",32.5584048,-117.0929651
